NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-09 03:28:16

BUY SIGNALS (1012):
  RELIANCE.NS     | Price: 1334.80 | Entry:  1308.1 | Target: 1449.23 | Risk: LOW       
  BHARTIARTL.NS   | Price: 1959.90 | Entry:  1920.7 | Target: 2121.27 | Risk: LOW       
  TCS.NS          | Price: 2452.70 | Entry: 2403.65 | Target: 2799.41 | Risk: LOW       
  SBIN.NS         | Price: 1097.20 | Entry: 1075.26 | Target: 1199.66 | Risk: LOW       
  INFY.NS         | Price: 1175.10 | Entry:  1151.6 | Target: 1346.56 | Risk: LOW       
  BAJFINANCE.NS   | Price: 1078.00 | Entry: 1056.44 | Target: 1241.18 | Risk: LOW       
  LT.NS           | Price: 4056.00 | Entry: 3974.88 | Target: 4363.29 | Risk: LOW       
  MARUTI.NS       | Price: 14037.00 | Entry: 13756.26 | Target: 15383.22 | Risk: LOW       
  M&M.NS          | Price: 3502.00 | Entry: 3431.96 | Target: 3946.50 | Risk: LOW       
  HCLTECH.NS      | Price: 1356.60 | Entry: 1329.47 | Target: 1525.06 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 12105.00 | Entry: 11862.9 | Target: 13098.04 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 2008.90 | Entry: 1968.72 | Target: 2261.40 | Risk: LOW       
  TITAN.NS        | Price: 4941.00 | Entry: 4842.18 | Target: 5370.43 | Risk: LOW       
  HAL.NS          | Price: 4910.00 | Entry:  4811.8 | Target: 5407.89 | Risk: LOW       
  ETERNAL.NS      | Price:  315.00 | Entry:   308.7 | Target:  364.89 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1299.50 | Entry: 1273.51 | Target: 1433.68 | Risk: LOW       
  WIPRO.NS        | Price:  187.53 | Entry:  183.78 | Target:  206.80 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2735.00 | Entry:  2680.3 | Target: 3043.64 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 11662.00 | Entry: 11428.76 | Target: 13056.46 | Risk: LOW       
  NESTLEIND.NS    | Price: 1540.00 | Entry:  1509.2 | Target: 1738.68 | Risk: LOW       
  INDIGO.NS       | Price: 5333.00 | Entry: 5226.34 | Target: 6030.32 | Risk: LOW       
  IOC.NS          | Price:  143.38 | Entry:  140.51 | Target:  156.21 | Risk: LOW       
  HINDZINC.NS     | Price:  603.00 | Entry:  590.94 | Target:  674.25 | Risk: LOW       
  JIOFIN.NS       | Price:  256.80 | Entry:  251.66 | Target:  290.04 | Risk: LOW       
  HYUNDAI.NS      | Price: 2200.50 | Entry: 2156.49 | Target: 2466.53 | Risk: LOW       
  GRASIM.NS       | Price: 3323.00 | Entry: 3256.54 | Target: 3683.56 | Risk: LOW       
  EICHERMOT.NS    | Price: 8020.00 | Entry:  7859.6 | Target: 8828.01 | Risk: LOW       
  HINDALCO.NS     | Price: 1059.60 | Entry: 1038.41 | Target: 1163.46 | Risk: LOW       
  DIVISLAB.NS     | Price: 8275.00 | Entry:  8109.5 | Target: 9314.46 | Risk: LOW       
  TVSMOTOR.NS     | Price: 4440.90 | Entry: 4352.08 | Target: 5004.94 | Risk: LOW       
  PIDILITIND.NS   | Price: 1660.00 | Entry:  1626.8 | Target: 1853.22 | Risk: LOW       
  BPCL.NS         | Price:  321.00 | Entry:  314.58 | Target:  357.05 | Risk: LOW       
  TECHM.NS        | Price: 1635.00 | Entry:  1602.3 | Target: 1837.54 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 11263.00 | Entry: 11037.74 | Target: 12437.29 | Risk: LOW       
  BRITANNIA.NS    | Price: 5510.00 | Entry:  5399.8 | Target: 6097.55 | Risk: LOW       
  AMBUJACEM.NS    | Price:  434.00 | Entry:  425.32 | Target:  490.61 | Risk: LOW       
  TATACAP.NS      | Price:  370.30 | Entry:  362.89 | Target:  426.49 | Risk: LOW       
  CHOLAFIN.NS     | Price: 1866.20 | Entry: 1828.88 | Target: 2188.52 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1115.00 | Entry:  1092.7 | Target: 1280.71 | Risk: LOW       
  TMCV.NS         | Price:  453.10 | Entry:  444.04 | Target:  515.83 | Risk: LOW       
  PNB.NS          | Price:  114.81 | Entry:  112.51 | Target:  123.30 | Risk: LOW       
  PFC.NS          | Price:  420.00 | Entry:   411.6 | Target:  458.72 | Risk: LOW       
  CIPLA.NS        | Price: 1463.80 | Entry: 1434.52 | Target: 1623.23 | Risk: LOW       
  LODHA.NS        | Price: 1218.70 | Entry: 1194.33 | Target: 1458.65 | Risk: LOW       
  GAIL.NS         | Price:  173.63 | Entry:  170.16 | Target:  195.89 | Risk: LOW       
  CANBK.NS        | Price:  131.95 | Entry:  129.31 | Target:  145.08 | Risk: LOW       
  ENRIN.NS        | Price: 3648.80 | Entry: 3575.82 | Target: 4272.69 | Risk: LOW       
  SIEMENS.NS      | Price: 3940.10 | Entry:  3861.3 | Target: 4457.01 | Risk: LOW       
  MAZDOCK.NS      | Price: 2514.90 | Entry:  2464.6 | Target: 2805.15 | Risk: LOW       
  BOSCHLTD.NS     | Price: 42950.00 | Entry: 42091.0 | Target: 48239.46 | Risk: LOW       
  ABB.NS          | Price: 7600.00 | Entry:  7448.0 | Target: 8650.33 | Risk: LOW       
  MOTHERSON.NS    | Price:  168.50 | Entry:  165.13 | Target:  195.58 | Risk: LOW       
  LGEINDIA.NS     | Price: 1586.50 | Entry: 1554.77 | Target: 1750.93 | Risk: LOW       
  UNIONBANK.NS    | Price:  183.60 | Entry:  179.93 | Target:  206.04 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8945.00 | Entry:  8766.1 | Target: 9623.39 | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5725.00 | Entry:  5610.5 | Target: 6449.12 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1103.00 | Entry: 1080.94 | Target: 1221.57 | Risk: LOW       
  SWIGGY.NS       | Price:  280.75 | Entry:  275.13 | Target:  346.63 | Risk: LOW       
  INDIANB.NS      | Price:  889.50 | Entry:  871.71 | Target:  981.07 | Risk: LOW       
  UNITDSPR.NS     | Price: 1512.40 | Entry: 1482.15 | Target: 1668.47 | Risk: LOW       
  RECLTD.NS       | Price:  367.00 | Entry:  359.66 | Target:  402.91 | Risk: LOW       
  DIXON.NS        | Price: 14200.00 | Entry: 13916.0 | Target: 16221.79 | Risk: LOW       
  HAVELLS.NS      | Price: 1288.00 | Entry: 1262.24 | Target: 1402.04 | Risk: LOW       
  MARICO.NS       | Price:  862.00 | Entry:  844.76 | Target:  957.53 | Risk: LOW       
  PERSISTENT.NS   | Price: 5475.00 | Entry:  5365.5 | Target: 6372.57 | Risk: LOW       
  NAUKRI.NS       | Price: 1225.30 | Entry: 1200.79 | Target: 1400.25 | Risk: LOW       
  MEESHO.NS       | Price:  191.35 | Entry:  187.52 | Target:  226.73 | Risk: LOW       
  POLICYBZR.NS    | Price: 1604.50 | Entry: 1572.41 | Target: 1809.39 | Risk: LOW       
  SBICARD.NS      | Price:  659.00 | Entry:  645.82 | Target:  733.18 | Risk: LOW       
  ASHOKLEY.NS     | Price:  177.50 | Entry:  173.95 | Target:  199.24 | Risk: LOW       
  ABCAPITAL.NS    | Price:  408.05 | Entry:  399.89 | Target:  466.82 | Risk: LOW       
  PAYTM.NS        | Price: 1441.60 | Entry: 1412.77 | Target: 1680.46 | Risk: LOW       
  IOB.NS          | Price:   34.26 | Entry:   33.57 | Target:   37.69 | Risk: LOW       
  OFSS.NS         | Price: 11805.00 | Entry: 11568.9 | Target: 14121.07 | Risk: LOW       
  LENSKART.NS     | Price:  569.70 | Entry:  558.31 | Target:  638.25 | Risk: LOW       
  LLOYDSME.NS     | Price: 2101.20 | Entry: 2059.18 | Target: 2424.70 | Risk: LOW       
  UNOMINDA.NS     | Price: 1285.00 | Entry:  1259.3 | Target: 1443.04 | Risk: LOW       
  NYKAA.NS        | Price:  332.00 | Entry:  325.36 | Target:  374.00 | Risk: LOW       
  COROMANDEL.NS   | Price: 2069.30 | Entry: 2027.91 | Target: 2323.44 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1658.00 | Entry: 1624.84 | Target: 1880.11 | Risk: LOW       
  BERGEPAINT.NS   | Price:  530.55 | Entry:  519.94 | Target:  612.38 | Risk: LOW       
  MRF.NS          | Price: 134190.00 | Entry: 131506.2 | Target: 143593.57 | Risk: LOW       
  GODREJPROP.NS   | Price: 2070.00 | Entry:  2028.6 | Target: 2423.15 | Risk: LOW       
  LTF.NS          | Price:  308.00 | Entry:  301.84 | Target:  350.05 | Risk: LOW       
  JSWINFRA.NS     | Price:  335.75 | Entry:  329.03 | Target:  390.02 | Risk: LOW       
  INDUSINDBK.NS   | Price: 1022.00 | Entry: 1001.56 | Target: 1146.05 | Risk: LOW       
  JSL.NS          | Price:  734.65 | Entry:  719.96 | Target:  819.83 | Risk: LOW       
  AUBANK.NS       | Price: 1067.00 | Entry: 1045.66 | Target: 1214.74 | Risk: LOW       
  BHARATFORG.NS   | Price: 2265.20 | Entry:  2219.9 | Target: 2485.84 | Risk: LOW       
  COFORGE.NS      | Price: 1776.00 | Entry: 1740.48 | Target: 2070.01 | Risk: LOW       
  BANKINDIA.NS    | Price:  145.00 | Entry:   142.1 | Target:  160.87 | Risk: LOW       
  IRCTC.NS        | Price:  519.95 | Entry:  509.55 | Target:  566.59 | Risk: LOW       
  BDL.NS          | Price: 1294.00 | Entry: 1268.12 | Target: 1446.71 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   84.62 | Entry:   82.93 | Target:   94.53 | Risk: LOW       
  PIIND.NS        | Price: 2774.60 | Entry: 2719.11 | Target: 3067.75 | Risk: LOW       
  GLENMARK.NS     | Price: 2279.10 | Entry: 2233.52 | Target: 2567.89 | Risk: LOW       
  SAIL.NS         | Price:  176.58 | Entry:  173.05 | Target:  202.98 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1176.00 | Entry: 1152.48 | Target: 1343.32 | Risk: LOW       
  MPHASIS.NS      | Price: 2475.00 | Entry:  2425.5 | Target: 2962.82 | Risk: LOW       
  KALYANKJIL.NS   | Price:  606.30 | Entry:  594.17 | Target:  742.51 | Risk: LOW       
  LINDEINDIA.NS   | Price: 7112.50 | Entry: 6970.25 | Target: 7995.83 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 4604.20 | Entry: 4512.12 | Target: 5283.02 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1844.30 | Entry: 1807.41 | Target: 2065.23 | Risk: LOW       
  AIIL.NS         | Price:  596.60 | Entry:  584.67 | Target:  713.62 | Risk: LOW       
  GODFRYPHLP.NS   | Price: 2286.00 | Entry: 2240.28 | Target: 2752.96 | Risk: LOW       
  APLAPOLLO.NS    | Price: 1970.00 | Entry:  1930.6 | Target: 2222.68 | Risk: LOW       
  GLAXO.NS        | Price: 2599.70 | Entry: 2547.71 | Target: 2991.24 | Risk: LOW       
  BALKRISIND.NS   | Price: 2466.30 | Entry: 2416.97 | Target: 2952.67 | Risk: LOW       
  ITCHOTELS.NS    | Price:  170.65 | Entry:  167.24 | Target:  190.28 | Risk: LOW       
  COCHINSHIP.NS   | Price: 1519.70 | Entry: 1489.31 | Target: 1684.88 | Risk: LOW       
  HEXT.NS         | Price:  564.60 | Entry:  553.31 | Target:  694.08 | Risk: LOW       
  LTTS.NS         | Price: 3598.70 | Entry: 3526.73 | Target: 4104.88 | Risk: LOW       
  360ONE.NS       | Price: 1168.10 | Entry: 1144.74 | Target: 1332.35 | Risk: LOW       
  PETRONET.NS     | Price:  280.60 | Entry:  274.99 | Target:  311.64 | Risk: LOW       
  ANTHEM.NS       | Price:  841.00 | Entry:  824.18 | Target:  973.43 | Risk: LOW       
  CONCOR.NS       | Price:  505.20 | Entry:   495.1 | Target:  571.14 | Risk: LOW       
  M&MFIN.NS       | Price:  408.45 | Entry:  400.28 | Target:  507.06 | Risk: LOW       
